idx,DI,C1_enriched,AU_CO_enriched,found
1172,10.1145/3626252.3630800,"[AkgünM, Pennsylvania State University] [SharmaP, Pennsylvania State University] [LiQ]",US,True
1173,10.1145/3626252.3630809,"[GulatiR, University of Illinois Urbana-Champaign] [WestM, University of Illinois Urbana-Champaign] [ZillesC, University of Illinois Urbana-Champaign] [SilvaM, University of Illinois Urbana-Champaign]",US,True
1174,10.1145/3626252.3630822,"[TaylorA, UNSW Sydney] [VassarA, UNSW Sydney] [RenzellaJ, UNSW Sydney] [PearceH, UNSW Sydney]",AU,True
1175,10.1145/3626252.3630834,"[HortonD, University of Toronto] [LiuD, University of Toronto] [McIlraithSA, University of Toronto] [CoyneS, University of Toronto] [WangSN, Cornell University]",CA;US,True
1176,10.1145/3626252.3630863,"[GutierrezAdC, University of Auckland] [DennyP, University of Auckland] [Luxton-ReillyA, University of Auckland]",NZ,True
1177,10.1145/3626252.3630867,"[WangK, University of British Columbia; University of British Columbia, Okanagan Campus] [LawrenceR, University of British Columbia; University of British Columbia, Okanagan Campus]",CA,True
1178,10.1145/3626252.3630880,"[SheardJ, Monash University] [DennyP, University of Auckland] [HellasA, Aalto University] [LeinonenJ, University of Auckland] [MalmiL, Aalto University] [SimonNP]",AU;NZ;FI,True
1179,10.1145/3626252.3630881,"[KatukaGA, University of Florida] [ChakraburtyS, Indiana University Bloomington] [LeeH, Indiana University Bloomington] [DhamaS, University of Florida] [Earle-RandellTV, University of Florida] [CelepkoluM, University of Florida] [BoyerKE, University of Florida] [GlazewskiK, North Carolina State University] [Hmelo‐SilverCE, Indiana University Bloomington] [McKlinT]",US,True
1180,10.1145/3626252.3630887,"[MalikA, Stanford University] [WoodrowJ, Stanford University] [PiechC, Stanford University]",US,True
1181,10.1145/3626252.3630897,"[JordanMI, North Carolina State University] [LyK, University of California San Diego] [RajAGS, University of California San Diego]",US,True
1182,10.1145/3626252.3630905,"[McGillMM, Institute for Advancing Computing Education] [TiseJ, Center for Advancing Health; Institute for Advancing Computing Education] [DeckerA, University at Buffalo, State University of New York]",US,True
1183,10.1145/3626252.3630927,"[KirovaV, Providence College] [KuCS, William Paterson University] [LaracyJR, Seton Hall University] [MarloweTJ, Seton Hall University]",US,True
1184,10.1145/3626252.3630928,"[PoulsenS, Utah State University] [SarsaS, Aalto University] [PratherJ, Abilene Christian University] [LeinonenJ, University of Auckland] [BeckerBA, University College Dublin] [HellasA, Aalto University] [DennyP, University of Auckland] [ReevesBN, Abilene Christian University]",US;FI;NZ;IE,True
1185,10.1145/3626252.3630937,"[GroverS, Through the Looking Glass]",US,True
1186,10.1145/3626252.3630938,"[LiuR, Harvard University Press] [ZenkeC, Harvard University Press] [LiuC, Yale University] [HolmesA, Harvard University Press] [ThorntonP, Harvard University Press] [MalanDJ, Harvard University Press]",US,True
1187,10.1145/3626252.3630941,"[BoppC, St. Bonaventure University] [FoerstA, St. Bonaventure University] [KelloggB, St. Bonaventure University]",US,True
1188,10.1145/3626252.3630958,"[CambazD, Delft University of Technology] [ZhangX, Delft University of Technology]",NL,True
1189,10.1145/3626252.3630966,"[ZuckermanAL, San Diego State University; University of California San Diego] [JuavinettA, University of California San Diego]",US,True
1190,10.1145/3627217.3627233,"[BalseR, Indian Institute of Technology Madras] [KumarV, Indian Institute of Science Bangalore] [PrasadP, Flame University] [WarriemJM, Indian Institute of Technology Madras]",IN,True
1191,10.1145/3627217.3627234,"[PawagiM, Indian Institute of Science Bangalore] [KumarV, Indian Institute of Science Bangalore]",IN,True
1192,10.1145/3627673.3679664,"[GuoY, University of Science and Technology of China] [ShenS] [LiuQ, University of Science and Technology of China] [HuangZ, University of Science and Technology of China] [ZhuL, University of Science and Technology of China] [SuY, Hefei Normal University] [ChenE, University of Science and Technology of China]",CN,True
1193,10.1145/3627673.3679760,"[FuL, Shanghai Jiao Tong University] [GuanH, Shanghai Jiao Tong University] [DuK, Shanghai Jiao Tong University] [LinJ, Shanghai Jiao Tong University] [XiaW, Huawei Technologies (China)] [ZhangW, Shanghai Jiao Tong University] [TangR, Huawei Technologies (China)] [WangY, Huawei Technologies (China)] [YuY, Shanghai Jiao Tong University]",CN,True
1194,10.1145/3630106.3659023,"[DotanR] [ParkerLS, University of Pittsburgh] [RadzilowiczJ, University of Pittsburgh]",US,True
1195,10.1145/3630106.3659045,"[EngelmannS, Cornell University] [ChoksiMZ, Cornell University] [WangA, Princeton Public Schools] [FieslerC, University of Colorado Boulder]",US,True
1196,10.1145/3631802.3631804,"[KristiansenNG, IT University of Copenhagen] [NicolajsenSM, IT University of Copenhagen] [BrabrandC, IT University of Copenhagen]",DK,True
1197,10.1145/3631802.3631806,"[KazemitabaarM, University of Toronto] [HouX, University of Michigan] [HenleyAZ, Microsoft (United States)] [EricsonB, University of Michigan] [WeintropD, University of Maryland, College Park] [GrossmanT, University of Toronto]",CA;US,True
1198,10.1145/3631802.3631818,"[LinhuberM, Technical University of Munich] [BerniusJP, Technical University of Munich] [KruscheS, Technical University of Munich]",DE,True
1199,10.1145/3631802.3631823,"[RahimiE, Open University of the Netherlands] [PassierH, Open University of the Netherlands] [StuurmanS, Open University of the Netherlands]",NL,True
1200,10.1145/3631802.3631829,"[TenórioK, Freie Universität Berlin] [RomeikeR, Freie Universität Berlin]",DE,True
1201,10.1145/3631802.3631830,"[LiffitonM, Illinois Wesleyan University] [SheeseBE, Illinois Wesleyan University] [ŠavelkaJ, Carnegie Mellon University] [DennyP, University of Auckland]",US;NZ,True
1202,10.1145/3631991.3632024,"[ChenS, Wenzhou University] [XuX, Wenzhou University] [ZhangH, Macao Polytechnic University] [ZhangY, Macao Polytechnic University]",CN;MO,True
1203,10.1145/3632620.3671094,"[ChenM, Northwestern University] [LiY, Northwestern University] [O’RourkeE, Northwestern University]",US,True
1204,10.1145/3632620.3671103,"[LogachevaE, Aalto University] [HellasA, Aalto University] [PratherJ, Abilene Christian University; Aalto University] [SarsaS, University of Jyväskylä] [LeinonenJ, Aalto University]",FI;US,True
1205,10.1145/3632620.3671106,"[LandesmanR, University of Washington] [SalacJ, University of Washington] [LimJO, Georgia Institute of Technology] [KoAJ, University of Washington]",US,True
1206,10.1145/3632620.3671112,"[SkripchukJ, North Carolina State University] [BacherJ, North Carolina State University] [PriceT, North Carolina State University]",US,True
1207,10.1145/3632620.3671113,"[TranK, North Carolina State University] [BacherJ, North Carolina State University] [ShiY, Utah State University] [SkripchukJ, North Carolina State University] [PriceT, North Carolina State University]",US,True
1208,10.1145/3632620.3671116,"[PratherJ, Abilene Christian University] [ReevesBN, Abilene Christian University] [LeinonenJ, Aalto University] [MacNeilS, Temple University] [RandrianasoloAS, Abilene Christian University] [BeckerBA, University College Dublin] [KimmelB, Abilene Christian University] [WrightJ, Abilene Christian University] [BriggsB, Abilene Christian University]",US;FI;IE,True
1209,10.1145/3632620.3671117,"[ChatterjeeA, Oregon State University] [ChoudhuriR, Oregon State University] [SarkarM] [ChattopadhyayS, Oregon State University] [LiuD, Oregon State University] [HedaooS, Oregon State University] [BurnettM, Oregon State University] [SarmaA, Oregon State University]",US,True
1210,10.1145/3633053.3633056,"[McGowanA, Queen's University Belfast] [AndersonN, Queen's University Belfast] [SageP, Queen's University Belfast] [GalwayL, Queen's University Belfast] [AdhikariJ, Queen's University Belfast] [TrombinoG, Queen's University Belfast]",GB,True
