Occurrences,Words,Cluster,Color,Cluster_Label,Cluster_Frequency,Cluster_PageRank,Score,Freq,btw_centrality,clos_centrality,pagerank_centrality
7,language models,2,#377EB880,large language models,0.0017135887038390565,0.0048543689320388345,0.32839788179389456,1417,90.85404743229135,0.0021008403361344537,0.0017135887038390565
7,learning objectives,2,#377EB880,large language models,0.0016525748488142211,0.0048543689320388345,0.32534718904265275,1417,33.24194167387616,0.0019455252918287938,0.0016525748488142211
7,multi-agent systems,2,#377EB880,large language models,0.001753157511897957,0.0048543689320388345,0.3303763221968396,1417,24.13721802643573,0.0019047619047619048,0.001753157511897957
7,online education,2,#377EB880,large language models,0.0011731112668554237,0.0048543689320388345,0.3013740099447129,1417,16.36411118714188,0.0019193857965451055,0.0011731112668554237
7,technology-enhanced learning,2,#377EB880,large language models,0.0013054926435158644,0.0048543689320388345,0.3079930787777349,1417,29.635490669908652,0.0019342359767891683,0.0013054926435158644
6,constructive alignment,2,#377EB880,large language models,0.0013122841927790045,0.004160887656033287,0.2736585924406146,1417,19.02560257648491,0.001976284584980237,0.0013122841927790045
6,educational equity,2,#377EB880,large language models,0.001271784156255711,0.004160887656033287,0.2716335906144499,1417,25.345655154016328,0.0019723865877712033,0.001271784156255711
6,multiple-choice questions,2,#377EB880,large language models,0.0012623034757965066,0.004160887656033287,0.27115955659148966,1417,21.406960789019788,0.0019646365422396855,0.0012623034757965066
6,personalization,2,#377EB880,large language models,0.0018923662820666625,0.004160887656033287,0.3026626969049975,1417,36.293569390512886,0.0019801980198019802,0.0018923662820666625
6,programming exercises,2,#377EB880,large language models,0.0015246844338048784,0.004160887656033287,0.2842786044919083,1417,8.2371662761755,0.001692047377326565,0.0015246844338048784
6,teaching reform,2,#377EB880,large language models,9.947268998321014e-4,0.004160887656033287,0.25778072779326944,1417,10.04825701193664,0.0017953321364452424,9.947268998321014e-4
298,artificial intelligence,3,#4DAF4A80,artificial intelligence,0.04149028489810827,0.17633136094674556,10.891082292242691,1681,510.14582770370157,0.0021008403361344537,0.04149028489810827
162,education,3,#4DAF4A80,artificial intelligence,0.026294096781451934,0.09585798816568047,6.107604247356621,1681,665.0266849150039,0.0021691973969631237,0.026294096781451934
111,engineering education,3,#4DAF4A80,artificial intelligence,0.019474612056381714,0.06568047337278106,4.257754271458139,1681,482.94592210583534,0.002150537634408602,0.019474612056381714
100,computer science education,3,#4DAF4A80,artificial intelligence,0.012597119931228277,0.05917159763313609,3.5884358782182186,1681,555.2502331290867,0.002173913043478261,0.012597119931228277
77,ethics,3,#4DAF4A80,artificial intelligence,0.0162231468335652,0.045562130177514794,3.089263850554,1681,543.7085602782565,0.0022271714922048997,0.0162231468335652
68,chatbots,3,#4DAF4A80,artificial intelligence,0.016998665836415884,0.040236686390532544,2.8617676113474215,1681,313.5468767885209,0.002136752136752137,0.016998665836415884
38,software engineering,3,#4DAF4A80,artificial intelligence,0.005369911832102297,0.022485207100591716,1.3927559466347006,1681,252.97455833592937,0.0021645021645021645,0.005369911832102297
